"","neighbourhood_name","common_name","n","proportion"
"1","ARBUTUS-RIDGE","ACCOLADE CHERRY",1,0.000193461017604953
"2","ARBUTUS-RIDGE","AKEBONO FLOWERING CHERRY",61,0.0118011220739021
"3","ARBUTUS-RIDGE","ALDERLEAFED MOUNTAIN ASH",8,0.00154768814083962
"4","ARBUTUS-RIDGE","ALIA'S MAGNOLIA",3,0.000580383052814858
"5","ARBUTUS-RIDGE","AMERICAN ELM",92,0.0177984136196556
"6","ARBUTUS-RIDGE","AMERICAN FILBERT",4,0.00077384407041981
"7","ARBUTUS-RIDGE","AMERICAN HORNBEAM",14,0.00270845424646934
"8","ARBUTUS-RIDGE","AMERICAN MOUNTAIN ASH",8,0.00154768814083962
"9","ARBUTUS-RIDGE","AMERICAN SWEETGUM",2,0.000386922035209905
"10","ARBUTUS-RIDGE","AMUR MAPLE",5,0.000967305088024763
"11","ARBUTUS-RIDGE","APPLE SERVICEBERRY",8,0.00154768814083962
"12","ARBUTUS-RIDGE","APPLE SPECIES",1,0.000193461017604953
"13","ARBUTUS-RIDGE","APPRICOT PLUM",1,0.000193461017604953
"14","ARBUTUS-RIDGE","ARISTOCRAT PEAR",20,0.00386922035209905
"15","ARBUTUS-RIDGE","ARMSTRONG RED MAPLE",19,0.0036757593344941
"16","ARBUTUS-RIDGE","ARNOLD TULIPTREE",38,0.0073515186689882
"17","ARBUTUS-RIDGE","ASH SPECIES",7,0.00135422712323467
"18","ARBUTUS-RIDGE","AUSTRIAN PINE",18,0.00348229831688915
"19","ARBUTUS-RIDGE","AUTUMN APPLAUSE ASH",70,0.0135422712323467
"20","ARBUTUS-RIDGE","AUTUMN BLAZE RED MAPLE",1,0.000193461017604953
"21","ARBUTUS-RIDGE","AUTUMN FLAME RED MAPLE",19,0.0036757593344941
"22","ARBUTUS-RIDGE","AUTUMN PURPLE ASH",1,0.000193461017604953
"23","ARBUTUS-RIDGE","AUTUMN SPLENDOR CHESTNUT",4,0.00077384407041981
"24","ARBUTUS-RIDGE","BAILEY SELECT CHOKECHERRY",10,0.00193461017604953
"25","ARBUTUS-RIDGE","BERGESON ASH",3,0.000580383052814858
"26","ARBUTUS-RIDGE","BIGLEAF MAPLE",10,0.00193461017604953
"27","ARBUTUS-RIDGE","BLACK COTTONWOOD",3,0.000580383052814858
"28","ARBUTUS-RIDGE","BLACK LOCUST",3,0.000580383052814858
"29","ARBUTUS-RIDGE","BLACK WALNUT",3,0.000580383052814858
